"terminal","port","country","region"
"Pacific Container Terminal","Long Beach","USA","USA"
"Oak Intl Cont Term Berth 58/Z985","Oakland","USA","USA"
"Port Vostochniy Terminal","Vostochniy","Russia","Asia"
"Hanjin Busan New Port Co. Ltd","Busan","South Korea","Asia"
"Wai Gao Qiao Terminal 2","Shanghai","China","Asia"
"Ningbo Meishan Island International","Ningbo","China","Asia"
"Chiwan Container Terminal Co,Ltd","Shekou","China","Asia"
"PSA Singapore Terminal","Singapore","Singapore","Asia"
"Algeciras - ML Terminal","Algeciras","Spain","Europe"
"Deurganck Terminal Quays 1732-1742","Antwerp","Belgium","Europe"
"FELIXSTOWE TRINITY TERMINAL","Felixstowe","United Kingdom","Europe"
"Canal Zone Terminal","Port Said","Egypt","Middle East"
"Dedicated Delta South Terminal","Rotterdam","The Netherlands","Europe"
"Bukai","Hamburg","Germany","Europe"
"Colombo International CT Terminal","Colombo","Sri Lanka","Asia"
"EMC Terminal - 116","Kaohsiung","Taiwan","Asia"
"Taipei Port Container Terminal Corp","Taipei","Taiwan","Asia"
"Yantian International Cont Terminal","Yantian","China","Asia"
"Guangzhou South China Ocean Gate","Nansha","China","Asia"
"Dubai World","Hong Kong","Hong Kong","Asia"
"Lianyungang Miaoling Port Area","Lianyungang","China","Asia"
"SSA T-30","Seattle","USA","USA"
"SCT 5","Southampton","United Kingdom","Europe"
"Eurogate Container Terminal","Bremerhaven","Germany","Europe"
"Terminal de France","Le Havre","France","Europe"
"Container Terminal","Salalah","Oman","Middle East"
"Container Terminal 2","Jebel Ali","UAE","Middle East"
"Qingdao Qianwan Container Terminal","Qingdao","China","Asia"